id,title,filtered_words,label
R129,New Report on Election,"['certainly', 'nice', 'want', 'while.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['significant', 'month', 'base', 'election', 'learn', 'eye', 'customer.', 'also', 'practice', 'discuss', 'green', 'national', 'charge', 'total.', 'respond', 'right', 'government', 'particularly', 'health', 'manager', 'product.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['difficult', 'material', 'list.', 'fill', 'weight', 'might', 'ahead', 'house.', 'professional', 'usually', 'save', 'dream', 'poor', 'teacher', 'place', 'high.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['particular', 'cost', 'perform', 'wife', 'middle', 'identify', 'reality.', 'bag', 'light', 'officer', 'manager', 'know.', 'physical', 'move', 'cell', 'final', 'term.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['strategy', 'trade', 'number', 'discuss', 'true.', 'cause', 'attention', 'court', 'write.', 'responsibility', 'capital', 'yeah.', 'deep', 'commercial.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['use', 'commercial', 'avoid', 'serious', 'history', 'but.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['exactly', 'science', 'quite', 'occur', 'mean', 'require', 'win.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['three', 'scene', 'whatever', 'ability.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['wear', 'yet', 'ability', 'member', 'participant', 'receive', 'look', 'region.', 'nice', 'policy', 'agency', 'charge', 'century', 'manage.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['us', 'world', 'account', 'turn', 'raise.', 'serious', 'create', 'maybe', 'best.', 'go', 'economic', 'seek', 'try', 'career', 'difference.', 'ahead', 'range', 'boy', 'baby', 'industry.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['happen', 'exist', 'financial', 'east', 'son', 'ahead', 'reach.', 'agree', 'hold', 'environment', 'mention.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['exist', 'like', 'table', 'increase', 'series', 'southern', 'charge.', 'education', 'analysis', 'management', 'company', 'industry.', 'ahead', 'represent', 'floor', 'sound.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['share', 'week', 'land', 'summer', 'day.', 'year', 'exist', 'goal', 'report', 'role', 'summer.', 'rate', 'leave', 'bag', 'image', 'none', 'ask', 'upon.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['dog', 'child', 'movement', 'later.', 'health', 'natural', 'four', 'clearly.', 'alone', 'assume', 'argue.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['turn', 'expect', 'opportunity', 'occur.', 'center', 'eight', 'summer', 'special', 'education.', 'difference', 'newspaper', 'too.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['make', 'woman', 'wonder', 'picture', 'new', 'work', 'evening', 'model.', 'community', 'reduce', 'another', 'radio', 'research.', 'image', 'social', 'believe', 'various', 'member', 'until.', 'consumer', 'control', 'four', 'project', 'send.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['wait', 'pressure', 'dog', 'health', 'magazine.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['kitchen', 'get', 'college', 'create', 'degree.', 'though', 'human', 'current', 'study', 'attack', 'system.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['manager', 'federal', 'work.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['participant', 'opportunity', 'determine.', 'act', 'message', 'woman.', 'discover', 'set', 'perform', 'discussion', 'reason', 'people', 'wind.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['serious', 'role', 'key', 'cup', 'writer', 'late', 'future.', 'least', 'finally', 'professional', 'hold.', 'job', 'fine', 'actually', 'time', 'campaign', 'several', 'would.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['born', 'relationship', 'either', 'type', 'site.', 'culture', 'nearly', 'magazine', 'far', 'water', 'art.', 'current', 'participant', 'necessary', 'pressure', 'professional.', 'administration', 'matter', 'night', 'develop', 'cold', 'force.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['professor', 'world', 'result', 'smile', 'loss', 'far', 'catch.', 'central', 'politics', 'stay.', 'figure', 'development', 'music', 'must', 'woman.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['painting', 'night', 'admit', 'life', 'beat', 'fund', 'truth.', 'work', 'professional', 'lead', 'dark.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['thousand', 'administration', 'economy', 'mind.', 'idea', 'question.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['especially', 'today', 'white', 'short', 'structure', 'until.', 'campaign', 'home', 'leg', 'real', 'style.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['sit', 'best', 'care', 'chance', 'clear', 'middle.', 'poor', 'role', 'present', 'window', 'difficult', 'entire', 'moment.', 'laugh', 'position', 'social.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
F246,Government Cover-Up Confirmed by Sources,"['matter', 'once.', 'total', 'represent', 'now.', 'mean', 'power', 'light', 'resource', 'threat', 'north', 'work.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F183,Aliens Confirmed by Sources,"['cost', 'prove', 'nice', 'example.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R063,New Report on Policy,"['tell', 'receive', 'role', 'store.', 'deal', 'visit', 'same.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R005,New Report on Election,"['fact', 'however', 'represent', 'board.', 'region', 'page', 'public', 'throughout', 'perform', 'edge', 'quality.', 'meet', 'main', 'role', 'bring.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
